246,299
243,364
70,64
162,49
20,392
158,442
136,423
77,346
29,68
195,91
112,331
171,417
53,16
15,398
170,290
207,339
29,162
73,348
162,435
23,100
51,91
203,305
202,251
152,241
40,445
205,122
72,388
112,43
173,71
29,45
165,305
44,433
114,241
109,172
12,230
209,277
135,62
54,74
74,52
8,354
192,35
128,270
211,304
80,247
172,321
98,292
66,169
34,384
22,153
114,245
75,281
41,279
177,301
84,259
18,375
19,349
173,178
227,387
53,271
9,183
43,59
193,403
146,188
167,131
24,73
50,211
190,105
196,36
50,458
198,216
167,387
162,281
2,161
159,392
118,192
12,458
146,309
170,10
107,210
209,96
233,44
211,303
10,380
198,211
172,311
58,48
56,127
199,185
145,214
211,159
9,299
132,122
23,224
225,179
103,64
190,221
161,185
18,365
99,201
147,259
180,293
203,267
7,221
43,305
243,330
234,120
244,304
47,46
15,72
239,216
54,427
161,135
242,407
164,51
196,120
67,384
13,413
57,361
15,355
89,393
199,274
200,10
82,134
208,121
43,35
52,102
211,275
37,248
35,278
66,293
136,110
173,248
169,296
119,39
161,292
4,336
56,337
229,27
165,271
47,297
191,418
84,203
221,190
19,55
11,51
196,124
145,51
49,352
244,411
210,269
244,420
194,172
230,113
167,75
192,275
221,320
171,72
242,123
119,272
222,126
125,450
149,142
38,311
238,247
211,382
196,101
231,369
145,37
150,152
7,332
54,35
42,308
68,427
173,391
102,349
172,246
38,203
80,419
4,308
65,49
76,49
180,125
5,7
182,305
194,279
36,269
235,51
68,301
152,44
3,330
77,288
226,277
9,270
235,307
79,78
133,296
218,245
147,203
212,369
64,452
117,455
91,335
21,109
236,6
126,274
205,37
18,192
200,107
231,85
66,125
204,77
214,279
220,457
84,435
190,416
90,338
180,241
100,132
234,230
106,44
72,51
33,69
222,246
146,364
132,429
38,422
35,249
99,261
225,248
56,61
7,196
25,330
22,77
102,433
103,398
45,326
95,165
211,358
39,413
146,247
138,383
89,103
70,328
227,55
164,17
238,241
89,359
241,246
196,342
48,89
51,225
136,458
159,42
176,360
230,349
84,304
127,98
118,269
171,281
124,358
208,190
132,33
186,162
67,71
71,41
23,153
152,276
139,166
19,21
25,190
188,226
145,17
44,441
181,339
41,454
198,270
56,415
147,435
111,122
190,415
104,330
47,195
186,301
4,270
178,306
116,93
101,193
211,312
50,404
207,369
233,89
60,417
159,149
48,52
89,340
36,96
178,427
56,401
136,421
190,401
239,266
46,146
57,155
49,380
206,107
237,360
193,155
82,166
221,272
23,98
34,284
207,355
238,181
200,316
110,4
167,157
7,266
165,47
225,345
41,8
49,110
72,422
80,97
228,270
109,179
147,16
93,45
175,371
151,413
79,403
211,46
172,216
144,145
89,447
210,319
20,97
166,151
14,35
99,259
82,17
58,236
228,229
204,308
38,96
104,41
220,5
32,183
49,114
128,407
52,12
106,1
144,113
88,209
44,273
67,186
116,298
226,179
196,425
75,373
43,75
158,151
104,189
47,45
88,83
147,132
159,143
207,192
205,375
231,387
80,325
114,238
198,79
133,346
126,221
196,411
219,49
237,183
107,64
227,407
138,79
229,435
109,290
67,46
199,165
164,445
161,327
165,50
114,224
25,421
233,172
106,229
240,229
172,192
150,430
194,189
8,108
77,180
17,175
19,355
232,72
168,307
223,14
133,215
45,102
22,100
88,311
128,118
163,85
205,338
153,300
108,158
111,294
125,238
145,445
2,158
130,164
156,454
212,126
203,157
104,273
231,377
212,135
172,151
106,233
35,420
10,256
145,310
110,352
228,97
242,270
167,78
175,189
46,462
53,330
66,309
162,17
232,341
104,421
101,248
7,241
82,253
139,369
203,152
38,341
149,190
81,46
219,7
20,45
232,35
21,117
222,259
192,17
11,94
139,252
2,274
36,425
33,100
159,87
35,42
244,274
83,366
41,122
233,283
52,360
147,112
237,15
165,8
213,332
77,282
223,107
96,152
181,101
56,366
206,283
124,241
58,305
54,15
70,130
13,172
53,446
106,461
233,413
122,298
204,386
23,36
146,363
231,223
83,96
40,134
4,59
146,390
4,297
225,283
102,203
56,96
240,164
212,93
15,64
87,169
131,266
196,94
118,165
147,201
35,158
188,10
181,123
34,199
102,77
162,366
0,66
45,446
21,345
190,46
52,332
121,450
120,67
202,29
81,157
136,340
128,336
117,345
99,309
23,152
133,33
237,279
70,102
107,398
128,192
23,426
223,362
126,420
139,210
193,330
38,155
97,204
112,131
167,305
68,15
151,49
73,148
169,94
69,16
158,192
57,307
173,82
72,426
88,151
193,307
172,373
115,266
118,402
100,363
205,416
37,185
135,64
226,130
23,259
80,137
47,387
100,390
208,341
99,7
223,213
217,417
99,16
140,444
145,132
196,443
42,385
41,340
228,175
97,320
13,107
9,244
128,344
51,371
74,373
15,296
110,39
38,307
174,51
206,272
63,71
236,380
239,287
23,16
82,340
212,199
76,0
39,100
143,328
46,423
205,20
220,310
163,14
199,89
84,297
204,433
79,191
10,82
162,445
162,216
130,93
120,70
202,261
172,89
23,384
143,449
53,403
190,161
210,228
18,305
103,13
94,44
228,273
80,365
204,419
242,55
166,325
132,183
151,7
42,137
131,196
81,375
203,310

fold along y=231
fold along x=123
fold along x=61
fold along y=115
fold along y=57
fold along y=28
fold along x=30
